2015-02-26,2361.01,0.0,0.0
2015-02-27,2367.1,0.17762500000071668,0.10150000000040953
2015-03-02,2358.25,-0.13409552503799205,-0.00037914596214250196
2015-03-03,2323.09,-1.9350604129849671,-0.707919723616204
2015-03-04,2338.0,-2.063607409289034,-1.1522936641184376
2015-03-05,2355.75,-1.0890561795345093,-1.1330613551745878
2015-03-06,2345.93,-1.0448946741348664,-1.10762423990103
2015-03-09,2344.12,-1.1095926567577408,-1.108171090969794
2015-03-10,2312.96,-3.1889481496550616,-1.6705947604176543
2015-03-11,2325.12,-3.731686309181896,-2.261602282894005
2015-03-12,2329.81,-3.713976464311145,-2.7036759442484413
2015-03-13,2303.4,-5.573154128629085,-3.5314312745465086
2015-03-16,2311.04,-6.881849549993603,-4.469431010655531
2015-03-17,2330.39,-6.368825747536448,-5.031654172164606
2015-03-18,2344.36,-4.559876778537273,-4.984150185145966
2015-03-19,2384.78,1.1773424680427524,-3.3986766823411116
2015-03-20,2407.7,7.489813374488222,-0.502029080683617
2015-03-23,2414.39,12.589505209161416,3.0910784633252146
2015-03-24,2412.32,16.318680581232,6.804901520037236
2015-03-25,2395.4,17.313451963338593,9.858791138135324
2015-03-26,2376.39,16.489283371510282,11.964171729974392
2015-03-27,2373.18,15.166150993721658,13.212131081137438
2015-03-30,2396.44,16.40014616187409,14.471231512323708
2015-03-31,2395.94,17.60566528877098,15.704689998824641
2015-04-01,2392.7,17.899157620411188,16.59267641895155
2015-04-02,2400.65,18.497367578012017,17.29224770310129
2015-04-07,2420.78,20.56160800682983,18.271381736996258
2015-04-08,2424.82,21.59236268311315,19.20865643889448
2015-04-09,2441.89,23.368243258358234,20.371435233106606
2015-04-10,2443.62,23.96277283373911,21.420944225348666
2015-04-13,2442.47,23.942725818098097,22.22951035456926
2015-04-14,2434.89,23.084378926575482,22.5788841119414
2015-04-15,2475.33,26.677546090437318,23.787663577285617
2015-04-16,2503.65,32.032309264101514,26.135657545051384
2015-04-17,2463.96,30.400095265619257,27.443333030224036
2015-04-20,2505.34,33.20688331909423,29.140856673780167
2015-04-21,2509.5,35.217399021261826,30.936512598193307
2015-04-22,2520.38,36.823883471654426,32.681437756949315
2015-04-23,2522.78,37.24170949500376,34.091001930346366
2015-04-24,2519.2,36.49881172348341,34.94778034948337
2015-04-27,2549.4,38.332895224615186,36.10352795841186
2015-04-28,2548.98,39.26590756326232,37.149603863651535
2015-04-29,2521.57,36.497259620236036,37.077134044028
2015-04-30,2514.63,33.227908389164895,36.172218144364734
2015-05-04,2523.09,30.38753317120063,34.668828143251844
2015-05-05,2507.95,25.326704856266133,32.13256552005115
2015-05-06,2524.54,23.27669391093241,29.643657181862505
2015-05-07,2522.61,20.215302345986856,26.941017258560056
2015-05-08,2546.78,20.172215480227806,24.917468273535437
2015-05-11,2535.1,18.13815755075848,22.81278805817116
2015-05-12,2542.65,16.85269922735779,20.86788941706656
2015-05-13,2540.26,15.271682232424155,19.038064177213677
2015-05-14,2513.58,10.37201414989022,16.407690919260318
2015-05-15,2514.84,6.494349183028589,13.444442921491943
2015-05-18,2523.59,4.889845408182737,10.891027143087284
2015-05-19,2523.35,3.5767299098092735,8.662641739958609
2015-05-20,2521.07,1.9854274007693675,6.62336254202484
2015-05-21,2524.83,1.2135687552663512,4.886148046890915
2015-05-22,2516.76,-0.293490719905094,3.2171677490826087
2015-05-25,2473.17,-5.9567287019172,0.46077591973914345
2015-05-26,2448.81,-13.658101738346431,-3.6560739383346954
2015-05-27,2460.74,-17.42533434802226,-7.662536687681672
2015-05-28,2441.15,-22.267839475264736,-11.897591478494798
2015-05-29,2437.81,-25.816760137638994,-16.000574710048706
2015-06-01,2437.09,-27.67910967653961,-19.554546232364103
2015-06-02,2408.73,-31.791347618477175,-23.299246785836818
2015-06-03,2388.93,-36.38189090690594,-27.332908290954215
2015-06-05,2365.58,-41.75623379288663,-31.78022672199007
2015-06-08,2354.26,-46.55799337469398,-36.29867172235663
2015-06-09,2338.65,-51.26876942554645,-40.80450527012335
2015-06-10,2384.49,-48.755770094662694,-43.42817318725617
2015-06-11,2383.87,-45.525390208653334,-44.4244898189106
2015-06-12,2358.73,-44.46930280091283,-44.81424672586725
2015-06-15,2358.03,-43.156579134589265,-44.71394532635758
2015-06-16,2356.77,-40.915056777241716,-43.94938901716226
2015-06-17,2321.39,-42.33042078661538,-43.66537247169278
2015-06-18,2334.36,-41.035228282015396,-42.99320360552064
2015-06-19,2299.35,-42.56683508235619,-42.805610851260106
2015-06-22,2350.09,-37.17080269583357,-41.11079034475203
2015-06-23,2341.26,-32.85072443597801,-38.72298070319406
2015-06-24,2348.97,-27.691913027420014,-35.6032830702819
2015-06-25,2354.74,-22.175615984179785,-31.793915556560968
2015-06-26,2333.82,-20.49851442180352,-28.510219475256978
2015-06-29,2291.23,-23.270944419316947,-26.842313159520312
2015-06-30,2317.84,-21.43220479090587,-25.06565642853453
2015-07-01,2293.03,-22.575105851781245,-24.06837029469808
2015-07-02,2294.37,-22.94444963185515,-23.3891534921445
2015-07-03,2278.17,-23.702107520907248,-23.194044608282532
2015-07-06,2272.09,-24.74794511338041,-23.418073694362192
2015-07-07,2218.64,-30.202878249875084,-25.16523491390657
2015-07-08,2216.39,-34.7398990190477,-27.81389327192284
2015-07-09,2230.65,-36.000723707353245,-30.17521847429803
2015-07-10,2270.84,-32.19456224442911,-30.86115938799285
2015-07-13,2269.0,-29.298235480162475,-30.63006963380576
2015-07-14,2259.98,-27.36197763354312,-29.910196275621082
